item_code;pre_t_order_count;sku_status
10000001001;19;historical
10000002001;295;historical
10000003001;107;historical
10000004001;87;historical
10000005001;247;historical
10000007001;211;historical
10000008001;2;historical
10000010001;131;historical
10000011001;560;historical
10000012001;93;historical
10000022001;45;historical
10000023001;14;historical
10000027001;48;historical
10000998001;373;historical
10001001001;110;historical
10001004001;233;historical
10001005001;49;historical
10001006001;347;historical
10001007001;7;historical
10001008001;39;historical
10001009001;295;historical
10001010001;3;historical
10001012001;277;historical
10001015001;51;historical
10001020001;65;historical
10001022001;87;historical
10001025001;194;historical
10001035001;68;historical
10002001001;221;historical
10002003001;118;historical
10002005001;225;historical
10002007001;120;historical
10002008001;185;historical
10002009001;169;historical
10002011001;3;historical
10002012001;28;historical
10002013001;4;historical
10002014001;89;historical
10002017001;119;historical
10002018001;530;historical
10002019001;286;historical
10002021001;286;historical
10002025001;63;historical
10002026001;4;historical
10002035001;118;historical
10002037001;6;historical
10002038001;6;historical
10002040001;66;historical
10002045001;180;historical
10002046001;64;historical
10002069001;44;historical
10002071001;95;historical
10002072001;29;historical
10002073001;25;historical
10002074001;82;historical
10002078001;4;historical
10002102001;282;historical
10002899001;3;historical
10002906001;69;historical
10002916001;12;historical
10002918001;3;historical
10002919001;6;historical
10002942001;28;historical
10002943001;77;historical
10002944001;74;historical
10010002001;412;historical
10010004001;270;historical
10010009001;8;historical
10010012001;16;historical
10010018001;3;historical
10010019001;14;historical
10010026001;46;historical
10010035001;314;historical
10010042001;24;historical
10010043001;22;historical
10011001001;131;historical
10011003001;186;historical
10011004001;5;historical
10011007001;11;historical
10011016001;126;historical
10011021001;22;historical
10011023001;79;historical
10011028001;10;historical
10012002001;2;historical
10012004001;114;historical
10012006001;58;historical
10012009001;5;historical
10012899001;72;historical
10013003001;118;historical
10013004001;4;historical
10013005001;98;historical
10013007001;2;historical
10013012001;94;historical
10014009001;85;historical
10014020001;47;historical
10014023001;163;historical
10014024001;18;historical
10014027001;1;new
10014028001;145;historical
10014029001;19;historical
10014030001;16;historical
10014032001;44;historical
10014033001;92;historical
10014037001;14;historical
10014043001;1;new
10014051001;40;historical
10014055001;1;new
10014062001;3;historical
10014067001;4;historical
10014069001;1;new
10014073001;2;historical
10014080001;22;historical
10014090001;220;historical
10014092001;59;historical
10014097001;4;historical
10014106001;4;historical
10014110001;2;historical
10014111001;9;historical
10014113001;51;historical
10014116001;1;new
10014126001;10;historical
10014130001;8;historical
10014898001;16;historical
10015007001;140;historical
10015011001;54;historical
10016002001;6;historical
10016011001;12;historical
10016014001;13;historical
10016015001;64;historical
10016020001;44;historical
10020002001;46;historical
10020003001;11;historical
10020004001;34;historical
10020006001;1;new
10020007001;231;historical
10020011001;49;historical
10020012001;18;historical
10020015001;37;historical
10020016001;15;historical
10020017001;2;historical
10020018001;130;historical
10020019001;13;historical
10020024001;21;historical
10020025001;15;historical
10020027001;83;historical
10020028001;3;historical
10020033001;51;historical
10020034001;18;historical
10020036001;23;historical
10020037001;1;new
10020041001;89;historical
10020042001;19;historical
10020046001;8;historical
10020094001;11;historical
10021001001;244;historical
10021005001;3;historical
10021006001;247;historical
10021007001;73;historical
10021008001;484;historical
10021009001;94;historical
10021010001;28;historical
10021015001;43;historical
10021016001;192;historical
10021017001;68;historical
10021018001;11;historical
10021021001;47;historical
10021022001;19;historical
10021023001;5;historical
10021025001;988;historical
10021026001;1784;historical
10021027001;128;historical
10021034001;34;historical
10021035001;451;historical
10021040001;8;historical
10022003001;3;historical
10022006001;3;historical
10022008001;14;historical
10022011001;35;historical
10022012001;6;historical
10022014001;12;historical
10022015001;8;historical
10022016001;8;historical
10022020001;4;historical
10022024001;6;historical
10022030001;87;historical
10022908001;4;historical
10022910001;1;new
10022915001;4;historical
10022916001;8;historical
10023002001;18;historical
10023005001;13;historical
10023008001;9;historical
10023011001;8;historical
10023017001;5;historical
10023020001;83;historical
10023027001;33;historical
10023031001;4;historical
10023032001;2;historical
10023035001;9;historical
10023044001;10;historical
10023049001;12;historical
10023051001;8;historical
10023054001;5;historical
10023055001;2;historical
10023058001;4;historical
10023063001;3;historical
10023066001;7;historical
10023068001;3;historical
10023073001;2;historical
10023075001;1;new
10023078001;5;historical
10023083001;7;historical
10023093001;8;historical
10023102001;1;new
10023103001;8;historical
10023104001;3;historical
10023106001;22;historical
10023110001;5;historical
10023114001;9;historical
10023124001;6;historical
10023892001;10;historical
10023998001;2;historical
10024001001;15;historical
10024003001;11;historical
10024004001;46;historical
10024005001;5;historical
10024006001;3;historical
10024007001;116;historical
10024011001;71;historical
10024014001;19;historical
10030001001;6;historical
10030005001;38;historical
10030007001;308;historical
10030008001;42;historical
10030013001;208;historical
10030014001;97;historical
10030015001;40;historical
10030017001;14;historical
10030018001;42;historical
10030019001;22;historical
10030020001;5;historical
10030021001;16;historical
10030022001;38;historical
10030046001;73;historical
10030048001;324;historical
10030049001;41;historical
10031001001;395;historical
10031003001;4;historical
10031004001;61;historical
10031007001;50;historical
10031011001;54;historical
10031012001;33;historical
10031013001;401;historical
10031015001;3;historical
10031017001;81;historical
10031019001;55;historical
10031023001;9;historical
10031026001;9;historical
10031031001;190;historical
10031033001;147;historical
10031899001;8;historical
10031901001;61;historical
10031909001;1;new
10031910001;196;historical
10031911001;61;historical
10031916001;137;historical
10032001001;17;historical
10032004001;4;historical
10032006001;399;historical
10032007001;5;historical
10032008001;233;historical
10032011001;61;historical
10032013001;374;historical
10032014001;36;historical
10032015001;30;historical
10032019001;131;historical
10032020001;72;historical
10032023001;2;historical
10032046001;57;historical
10032047001;331;historical
10032048001;6;historical
10032055001;90;historical
10032059001;9;historical
10032064001;71;historical
10033001001;30;historical
10033004001;413;historical
10033010001;70;historical
10033012001;15;historical
10033013001;206;historical
10033014001;66;historical
10033015001;199;historical
10033018001;371;historical
10033020001;45;historical
10033022001;11;historical
10033023001;3;historical
10033026001;31;historical
10033028001;66;historical
10033029001;2;historical
10033031001;7;historical
10033033001;5;historical
10033034001;65;historical
10033038001;53;historical
10033041001;242;historical
10033044001;77;historical
10033053001;54;historical
10033056001;55;historical
10033057001;239;historical
10033064001;246;historical
10033065001;72;historical
10033068001;147;historical
10033070001;136;historical
10033075001;91;historical
10034002001;14;historical
10034003001;193;historical
10034007001;31;historical
10034011001;162;historical
10034013001;7;historical
10034015001;10;historical
10034016001;26;historical
10034020001;48;historical
10034022001;3;historical
10034023001;14;historical
10034025001;256;historical
10034026001;10;historical
10034031001;3;historical
10034033001;26;historical
10034041001;3;historical
10034042001;455;historical
10034046001;24;historical
10034049001;8;historical
10034050001;44;historical
10034999001;162;historical
10035001001;66;historical
10035002001;71;historical
10035003001;26;historical
10035006001;48;historical
10035011001;8;historical
10035012001;62;historical
10035013001;42;historical
10035015001;176;historical
10035021001;149;historical
10035027001;2;historical
10035028001;77;historical
10035034001;207;historical
10035035001;425;historical
10035036001;20;historical
10035046001;1;new
10040001001;3;historical
10040002001;37;historical
10040003001;139;historical
10040004001;232;historical
10040005001;153;historical
10040008001;73;historical
10040009001;67;historical
10040010001;57;historical
10040011001;17;historical
10040014001;5;historical
10040016001;20;historical
10040017001;3;historical
10040018001;41;historical
10040019001;88;historical
10040020001;58;historical
10040021001;10;historical
10040022001;31;historical
10040023001;106;historical
10040025001;224;historical
10040026001;146;historical
10040027001;36;historical
10040028001;10;historical
10040031001;2;historical
10040032001;69;historical
10040033001;62;historical
10040034001;9;historical
10040035001;14;historical
10040037001;58;historical
10040038001;15;historical
10040039001;287;historical
10040040001;51;historical
10040041001;61;historical
10040042001;57;historical
10040044001;7;historical
10040048001;13;historical
10040049001;102;historical
10040050001;21;historical
10040056001;7;historical
10040062001;234;historical
10040063001;193;historical
10040066001;51;historical
10040071001;11;historical
10040078001;1;new
10040079001;58;historical
10040081001;66;historical
10040082001;8;historical
10040094001;77;historical
10040111001;31;historical
10041001001;4;historical
10041003001;34;historical
10041004001;46;historical
10041007001;2;historical
10041008001;7;historical
10041009001;6;historical
10041016001;1;new
10041032001;37;historical
10041033001;43;historical
10041034001;28;historical
10041038001;4;historical
10041039001;38;historical
10041040001;48;historical
10041067001;264;historical
10041085001;41;historical
10041087001;1;new
10041899001;25;historical
10051001001;3;historical
10051034001;7;historical
10052004001;2;historical
10052014001;4;historical
10052015001;4;historical
10052017001;20;historical
10052019001;10;historical
10052020001;55;historical
10052024001;7;historical
10052025001;62;historical
10052035001;27;historical
10052046001;1;new
10053901001;13;historical
10053903001;3;historical
10053904001;5;historical
10100132001;21;historical
10904021001;1;new
10904899001;1;new
11010001001;2;historical
11010005001;1;new
11010007001;22;historical
11010012001;2;historical
11010013001;10;historical
11010016001;4;historical
11010018001;3;historical
11010019001;8;historical
11010020001;8;historical
11010021001;6;historical
11010022001;6;historical
11010023001;7;historical
11010025001;8;historical
11010027001;9;historical
11010035001;3;historical
11010038001;1;new
11010040001;8;historical
11010042001;24;historical
11010043001;10;historical
11010045001;3;historical
11010051001;1;new
11010057001;3;historical
11010059001;4;historical
11010112001;9;historical
11010115001;9;historical
11010116001;5;historical
11020002001;17;historical
11020003001;5;historical
11020008001;6;historical
11020010001;3;historical
11020012001;6;historical
11020013001;4;historical
11021002001;2;historical
11021006001;6;historical
11021013001;15;historical
11021017001;10;historical
11021018001;2;historical
11021023001;6;historical
11021025001;5;historical
11021026001;6;historical
11021028001;3;historical
11021029001;14;historical
11021030001;7;historical
11021047001;8;historical
11021051002;1;new
11021052001;8;historical
11021059002;1;new
11021060001;7;historical
11021061001;9;historical
11021064001;4;historical
11021071001;40;historical
11021095001;1;new
11022001001;8;historical
11022002001;13;historical
11022003002;10;historical
11022007001;28;historical
11022009001;2;historical
11022011001;5;historical
11022012001;5;historical
11022017001;8;historical
11022021001;1;new
11022024002;6;historical
11022025001;19;historical
11022031001;10;historical
11022032001;9;historical
11022035001;4;historical
11022036001;8;historical
11022044001;3;historical
11022051001;28;historical
11022058001;1;new
11022059001;5;historical
11022063001;6;historical
11022067001;3;historical
11022077001;1;new
11022082001;6;historical
11022085001;4;historical
11022087001;5;historical
11023010001;11;historical
11023012001;2;historical
11030010001;5;historical
11030016002;1;new
11030018001;6;historical
11030024001;5;historical
11030062001;2;historical
11030066001;10;historical
11030094001;2;historical
11030095001;6;historical
11030096001;2;historical
11030097001;2;historical
11030108001;2;historical
11030128001;4;historical
11030183002;4;historical
11031011002;1;new
11031022001;4;historical
11031040001;4;historical
11031901001;2;historical
11031907001;11;historical
11031917001;5;historical
11031918001;1;new
11032002001;15;historical
11032003002;5;historical
11032008001;6;historical
11032011001;1;new
11032014002;10;historical
11032015001;4;historical
11032017001;5;historical
11032021001;18;historical
11032024001;12;historical
11032026001;3;historical
11032027001;15;historical
11032028001;4;historical
11032031001;2;historical
11032035001;9;historical
11032036001;9;historical
11032037001;23;historical
11032043001;4;historical
11032218001;26;historical
11032220001;20;historical
11032221001;4;historical
11032222002;10;historical
11040001001;14;historical
11040003001;3;historical
11040006001;78;historical
11040007001;2;historical
11040008001;7;historical
11040009001;90;historical
11040010001;80;historical
11040011001;2;historical
11040018001;3;historical
11040020001;6;historical
11040023001;3;historical
11040025001;3;historical
11040026001;14;historical
11040027001;3;historical
11040029001;1;new
11040029002;3;historical
11040030001;21;historical
11040035001;103;historical
11040039001;23;historical
11040040001;12;historical
11040044001;11;historical
11040046001;23;historical
11040047001;5;historical
11040057001;1;new
11040060001;2;historical
11040062001;3;historical
11041002001;9;historical
11041005001;6;historical
11041007001;8;historical
11041009001;4;historical
11041013001;2;historical
11041014001;1;new
11041017001;13;historical
11041019001;10;historical
11041024001;6;historical
11041027001;18;historical
11041031001;4;historical
11041999004;2;historical
11042001001;6;historical
11042002001;5;historical
11042003001;2;historical
11042005001;13;historical
11042006001;6;historical
11042007001;6;historical
11042008001;22;historical
11042009001;9;historical
11042010001;4;historical
11042011001;16;historical
11042015001;7;historical
11042017001;13;historical
11042020001;6;historical
11042022001;4;historical
11042023001;7;historical
11042027001;4;historical
11042028001;2;historical
11042030001;2;historical
11050002001;8;historical
11050003001;6;historical
11050004001;90;historical
11050005001;14;historical
11050006001;1;new
11050008001;1;new
11050009001;4;historical
11050010001;3;historical
11050011001;27;historical
11050017001;66;historical
11050019002;22;historical
11050020001;58;historical
11050022001;7;historical
11050025001;47;historical
11050029001;18;historical
11050031001;19;historical
11050032001;10;historical
11050033001;17;historical
11050035001;87;historical
11050038001;17;historical
11050039001;12;historical
11050046001;14;historical
11050047001;6;historical
11050049001;7;historical
11050052001;4;historical
11050053001;6;historical
11050059001;11;historical
11050061001;1;new
11050063001;3;historical
11050064001;9;historical
11050068001;8;historical
11050074001;4;historical
11050076001;32;historical
11050077001;52;historical
11050078001;8;historical
11050087001;9;historical
11050088001;1;new
11050093001;4;historical
11050097001;2;historical
11050098001;16;historical
11050101001;5;historical
11050102001;8;historical
11050103001;8;historical
11050104001;1;new
11050111001;1;new
11050123001;10;historical
11050129001;7;historical
11050129002;3;historical
11050131001;12;historical
11050140002;2;historical
11051002001;60;historical
11051003001;3;historical
11051004001;5;historical
11051006001;46;historical
11051007001;10;historical
11051009001;6;historical
11051013001;29;historical
11051016001;1;new
11051019001;4;historical
11051023001;6;historical
11051030001;1;new
11051032001;2;historical
11051037001;2;historical
11051039001;2;historical
11051044001;14;historical
11051056001;2;historical
11051999001;3;historical
11061001001;5;historical
11061005001;3;historical
11061008001;6;historical
11061011001;13;historical
11061015001;4;historical
11061016001;4;historical
11061023001;21;historical
11061024001;1;new
11061027001;1;new
11061028001;5;historical
11061030001;5;historical
11061031001;5;historical
11061049001;3;historical
11061050001;1;new
11061051001;2;historical
11061052001;6;historical
11061053001;9;historical
11061054001;5;historical
11061070001;19;historical
11061071001;78;historical
11062004001;8;historical
11062015001;9;historical
11062019001;12;historical
11062023001;10;historical
11062025001;22;historical
11070001001;52;historical
11070003001;17;historical
11070004001;51;historical
11070006001;1;new
11070007001;39;historical
11070011001;14;historical
11070012001;3;historical
11070013001;4;historical
11070014001;10;historical
11070015001;8;historical
11070016001;13;historical
11070018001;4;historical
11070019001;1;new
11070027001;1;new
11070029001;16;historical
11070030001;3;historical
11070045001;20;historical
11070046001;1;new
11070050001;6;historical
11070051001;1;new
11071001001;20;historical
11071002001;6;historical
11071004001;11;historical
11071005001;5;historical
11071008001;8;historical
11071009001;12;historical
11071012001;2;historical
11071013001;1;new
11071014001;5;historical
11071018001;4;historical
11071032001;6;historical
11071033001;16;historical
11071034001;16;historical
11071035001;3;historical
11071898001;34;historical
11071902001;12;historical
11071909001;1;new
11071911001;1;new
11071916001;20;historical
11072001001;21;historical
11072005001;3;historical
11072008001;6;historical
11072012002;13;historical
11072013001;1;new
11072017001;3;historical
11072019001;1;new
11072036001;6;historical
11072897001;7;historical
11072902001;1;new
11072903001;7;historical
11072905001;2;historical
11072906001;1;new
11073001001;1;new
11073002001;2;historical
11073006001;12;historical
11073012001;4;historical
11073025001;10;historical
11073032001;1;new
11073039001;1;new
11073899001;1;new
11073900001;2;historical
11073901001;1;new
11073902001;26;historical
11073905001;1;new
11073907001;15;historical
11074001001;1;new
11074003001;28;historical
11074005001;10;historical
11074007001;6;historical
11074012001;2;historical
11074015002;54;historical
11074018001;6;historical
11074019001;3;historical
11074020001;7;historical
11074022001;1;new
11074027001;3;historical
11074031001;5;historical
11074045002;1;new
11074046001;7;historical
11074047001;3;historical
11074048001;15;historical
11074059001;5;historical
11074060005;4;historical
11075001001;4;historical
11075002001;1;new
11075003001;6;historical
11075004001;2;historical
11075013001;7;historical
11075039001;1;new
11076883001;2;historical
11076886001;2;historical
11076890001;2;historical
11076896001;6;historical
11076928001;2;historical
11100001001;35;historical
11100003001;6;historical
11100005001;17;historical
11100007001;2;historical
11100008001;46;historical
11100010001;9;historical
11100011001;22;historical
11100015001;13;historical
11100017001;15;historical
11100018001;20;historical
11100019001;9;historical
11100021001;5;historical
11100107001;4;historical
11100108001;6;historical
11100112001;12;historical
11101014001;45;historical
11101021001;3;historical
11101023001;4;historical
11101028001;37;historical
11101029001;25;historical
11101034001;1;new
11101036001;18;historical
11101038001;5;historical
11101039001;12;historical
11101044001;5;historical
11101055001;23;historical
11102002001;78;historical
11102003001;9;historical
11102004001;7;historical
11102007001;10;historical
11102012001;3;historical
11102013001;1;new
11102014001;2;historical
11102017001;6;historical
11102043001;2;historical
11103001001;5;historical
11103002001;1;new
11103005001;12;historical
11103007001;43;historical
11103008001;3;historical
11103011003;1;new
11103011004;1;new
11103015001;58;historical
11103018001;14;historical
11103019001;67;historical
11103021001;161;historical
11103022001;125;historical
11103023001;12;historical
11103027001;11;historical
11103031001;12;historical
11103035001;25;historical
11103039001;2;historical
11103040001;2;historical
11103046001;16;historical
11103047001;7;historical
11103051001;32;historical
11103052001;5;historical
11103054001;14;historical
11103058001;15;historical
11103062001;5;historical
11103065001;1;new
11103067001;7;historical
11103068001;3;historical
11103069001;13;historical
11103070001;86;historical
11103074001;7;historical
11103076001;18;historical
11103078001;3;historical
11103084001;9;historical
11103085001;1;new
11103086002;1;new
11103088001;8;historical
11103090001;132;historical
11103092001;2;historical
11103094001;31;historical
11103096001;28;historical
11103098001;31;historical
11103099001;1;new
11103100001;5;historical
11103102002;4;historical
11103105001;2;historical
11103106001;14;historical
11103108001;2;historical
11103110001;1;new
11103111001;14;historical
11103112001;6;historical
11103113001;4;historical
11103114001;25;historical
11103115001;5;historical
11103118001;5;historical
11103123001;1;new
11103132001;8;historical
11103133001;24;historical
11103134001;43;historical
11103135001;10;historical
11103136001;191;historical
11103137001;37;historical
11103155001;2;historical
11103156001;8;historical
11103157001;3;historical
11103158001;10;historical
11103176001;25;historical
11103188001;3;historical
11103188002;3;historical
11103191001;4;historical
11103196001;3;historical
11103206001;1;new
11103211001;2;historical
11103212001;1;new
11103220001;13;historical
11103224001;6;historical
11103233001;5;historical
11103244002;6;historical
11103256001;1;new
11103262001;8;historical
11103270002;14;historical
11103280001;8;historical
11103283001;5;historical
11103289001;14;historical
11103296001;1;new
11103313001;1;new
11103314001;4;historical
11103317001;16;historical
11103321001;1;new
11103321002;1;new
11103322001;6;historical
11103323001;2;historical
11103346001;19;historical
11103350001;2;historical
11103354001;3;historical
11103361001;1;new
11103365001;4;historical
11103370001;7;historical
11103375001;49;historical
11103377001;3;historical
11103380001;2;historical
11103884002;3;historical
11103884003;3;historical
11104001001;4;historical
11104005001;14;historical
11104006001;16;historical
11110006001;23;historical
11110007001;38;historical
11110013001;8;historical
11110014001;2;historical
11110016001;3;historical
11110018001;8;historical
11110026001;3;historical
11110028001;4;historical
11110029001;8;historical
11110065001;1;new
11110066001;7;historical
11110077003;7;historical
11110078003;9;historical
11110082001;9;historical
11110083001;9;historical
11110085001;28;historical
11110086001;7;historical
11110088002;8;historical
11110089001;23;historical
11110090001;12;historical
11110091001;6;historical
11110093001;15;historical
11110094001;10;historical
11110095001;9;historical
11111004001;16;historical
11111007001;14;historical
11111008001;1;new
11111011001;61;historical
11111012001;6;historical
11111013001;29;historical
11111015001;15;historical
11111017001;109;historical
11111019001;28;historical
11111021001;51;historical
11111022001;18;historical
11111025001;31;historical
11111030001;6;historical
11111033001;45;historical
11111037001;7;historical
11111050001;24;historical
11112001001;1;new
11112004001;6;historical
11112005001;1;new
11112007001;6;historical
11112017001;1;new
11112036001;6;historical
12000011001;20;historical
12000015001;3;historical
12000016001;14;historical
12000042001;3;historical
12000045001;13;historical
12000057001;2;historical
12000059001;23;historical
12000067001;9;historical
12000076001;5;historical
12000080001;1;new
12000081001;11;historical
12000089001;9;historical
12000097001;6;historical
12000101001;3;historical
12000108001;15;historical
12000125001;7;historical
12000126001;4;historical
12000128001;3;historical
12000129001;7;historical
12000135001;3;historical
12000149001;1;new
12000150001;3;historical
12000152001;15;historical
12000163001;3;historical
12000165001;3;historical
12000169001;8;historical
12000170001;10;historical
12000178001;81;historical
12000179001;46;historical
12000182001;8;historical
12000193001;2;historical
12000196001;1;new
12000205001;3;historical
12000206001;1;new
12000207001;1;new
12000208001;7;historical
12000214001;11;historical
12000217001;3;historical
12000220001;5;historical
12000221001;6;historical
12000223001;15;historical
12000225001;3;historical
12000226001;3;historical
12000232001;2;historical
12000241001;2;historical
12000246001;9;historical
12000261001;5;historical
12000270001;1;new
12000275001;1;new
12000276001;1;new
12000285001;1;new
12000288001;2;historical
12000295001;1;new
12000309001;1;new
12000314001;3;historical
12000317001;25;historical
12000319001;3;historical
12000320001;3;historical
12000350001;11;historical
12000359001;8;historical
12000366001;4;historical
12000372001;5;historical
12000374001;3;historical
12000375001;3;historical
12000377001;10;historical
12000381001;4;historical
12000405001;2;historical
12000425001;2;historical
12000469001;2;historical
12000485001;1;new
12000494001;1;new
12000495001;4;historical
12000496001;6;historical
12000497001;1;new
12000498001;2;historical
12000504001;2;historical
12000505001;2;historical
12001004001;9;historical
12001019001;7;historical
12001026001;14;historical
12001027001;3;historical
12001029001;1;new
12001038001;4;historical
12001041001;4;historical
